Item,avg_rainfall,pesticides_tonnes,avg_temp,Radiation,Season,hg/ha_yield
Soybeans,275.55,14.55,19.79,7.98,post-monsoon,15390.7
Soybeans,771.49,10.68,23.93,7.5,monsoon,20948.6
Potatoes,980.87,22.88,20.02,7.23,post-monsoon,140581.4
Potatoes,501.08,21.11,19.16,3.38,post-monsoon,148052.3
Wheat,307.01,29.42,28.8,1.91,summer,23076.9
Maize,397.41,17.45,23.56,7.81,summer,28701.7
Potatoes,577.16,4.04,20.01,8.73,post-monsoon,167474.6
Rice,609.58,32.03,28.95,6.33,post-monsoon,37394.5
Soybeans,518.1,66.76,18.67,5.25,summer,16175.3
Maize,677.05,5.91,26.05,4.81,post-monsoon,34397.5
Rice,346.08,6.36,34.95,5.11,post-monsoon,24941.5
Soybeans,496.07,12.08,23.75,5.39,post-monsoon,16904.4
Potatoes,215.17,53.37,27.16,9.95,summer,98645.6
Wheat,440.44,7.43,28.77,6.71,monsoon,29741.2
Wheat,400.73,8.19,22.23,5.87,summer,28863.4
Wheat,764.24,1.58,18.64,7.84,monsoon,33260.6
Rice,385.73,10.63,27.58,9.95,winter,31509.8
Potatoes,228.22,15.61,22.86,8.61,winter,138710.2
Maize,1507.49,29.14,16.21,4.04,monsoon,18881.1
Soybeans,610.33,24.8,24.37,11.07,summer,16871.1
Potatoes,161.53,9.14,17.72,7.96,summer,131974.0
Potatoes,135.86,3.41,21.35,7.92,winter,109031.1
Wheat,1116.83,4.04,27.37,7.19,monsoon,25989.4
Potatoes,220.76,10.17,11.49,7.13,summer,118257.6
Soybeans,143.38,14.97,18.2,6.9,winter,11510.8
Maize,1168.58,4.23,25.18,9.0,monsoon,37222.8
Soybeans,1785.58,23.33,25.26,8.0,monsoon,11554.7
Maize,649.64,3.41,16.7,7.73,monsoon,31016.3
Wheat,309.48,19.68,16.59,11.22,summer,23513.8
Potatoes,256.77,7.78,13.69,10.81,winter,128368.8
Maize,173.38,6.28,18.09,9.32,winter,25499.3
Potatoes,127.63,3.48,20.81,5.37,winter,113011.2
Wheat,1166.98,16.4,26.54,6.98,monsoon,25641.0
Wheat,428.79,3.48,30.1,9.33,winter,20879.0
Soybeans,1346.62,18.52,19.93,11.62,monsoon,13959.4
Potatoes,244.22,5.92,11.94,5.37,winter,121989.7
Rice,540.88,18.14,24.12,9.09,summer,31931.2
Maize,148.42,22.31,21.02,8.44,monsoon,26135.3
Soybeans,282.48,11.25,20.98,7.22,winter,15148.2
Potatoes,711.7,3.48,21.48,8.29,post-monsoon,170739.5
Maize,1385.81,14.79,26.22,9.05,monsoon,29017.6
Maize,547.22,28.58,20.78,3.05,summer,29731.3
Rice,49.71,15.2,34.16,10.04,winter,19362.0
Soybeans,1095.09,73.86,29.27,8.2,monsoon,19713.9
Wheat,535.81,16.02,25.6,6.12,summer,27939.8
Potatoes,943.58,8.33,19.3,1.39,monsoon,146215.4
Soybeans,1266.63,18.73,24.91,1.0,post-monsoon,13421.3
Maize,1612.22,22.04,35.0,8.8,monsoon,24746.0
Rice,226.47,3.0,34.48,8.64,post-monsoon,26032.2
Potatoes,1113.61,15.31,18.65,7.27,post-monsoon,132755.9
Potatoes,853.04,1.97,21.36,5.43,post-monsoon,149768.0
Wheat,195.1,5.84,19.52,8.05,winter,21445.1
Maize,267.48,19.6,32.08,5.01,post-monsoon,25421.7
Rice,370.6,31.08,22.26,3.11,summer,21470.9
Maize,666.71,7.51,24.25,6.98,monsoon,35165.8
Wheat,299.44,9.69,26.53,5.32,summer,22611.3
Wheat,1078.1,3.45,13.85,7.27,post-monsoon,24350.1
Wheat,602.93,3.76,21.88,7.5,post-monsoon,30646.0
Potatoes,395.41,18.93,15.28,5.22,summer,157521.3
Rice,115.72,2.3,40.98,10.98,winter,15089.2
Potatoes,1042.3,7.31,20.64,9.08,monsoon,122204.6
Soybeans,796.49,1.24,30.36,8.8,post-monsoon,16852.8
Wheat,1470.67,20.64,22.86,11.29,monsoon,19735.7
Maize,945.74,28.2,19.96,5.36,post-monsoon,32078.4
Rice,1365.2,29.98,29.33,10.42,monsoon,46203.7
Potatoes,811.07,22.31,15.46,6.18,post-monsoon,158541.7
Potatoes,195.11,45.05,24.26,6.08,winter,120121.1
Soybeans,634.95,3.41,19.12,6.95,post-monsoon,19463.0
Rice,1755.05,3.95,27.44,5.01,monsoon,45270.0
Maize,251.61,1.22,26.74,5.65,winter,24804.4
Rice,641.13,13.65,22.11,8.02,post-monsoon,31376.4
Rice,653.77,3.31,31.91,11.16,post-monsoon,36421.5
Potatoes,142.28,3.18,11.6,5.44,summer,112543.8
Maize,426.15,5.09,21.22,5.47,summer,26559.3
Soybeans,504.72,37.97,31.5,6.68,summer,17146.8
Potatoes,727.59,11.9,10.4,6.99,post-monsoon,141616.9
Rice,350.7,9.21,28.21,7.45,summer,32597.2
Maize,272.83,15.24,23.0,8.25,post-monsoon,29454.5
Rice,447.3,3.46,25.76,6.81,post-monsoon,37194.4
Maize,869.75,48.3,28.45,9.09,post-monsoon,38239.5
Rice,589.68,1.54,32.14,7.36,summer,33793.3
Wheat,618.37,16.76,35.03,5.17,monsoon,23374.7
Maize,558.84,1.68,20.18,8.64,post-monsoon,33383.8
Maize,441.72,10.87,26.7,3.81,winter,31957.7
Potatoes,256.97,11.2,23.07,1.8,winter,100681.5
Wheat,463.38,12.48,27.22,9.17,post-monsoon,27006.1
Rice,1198.62,1.87,26.9,8.6,monsoon,46216.7
Soybeans,327.58,25.83,31.05,12.75,summer,12298.7
Wheat,226.7,1.04,18.68,11.34,winter,20931.3
Potatoes,318.79,4.9,15.74,8.67,winter,160448.2
Potatoes,166.57,49.43,16.62,8.41,winter,108630.0
Maize,151.76,12.23,26.91,7.42,winter,26183.4
Potatoes,194.2,19.15,15.35,5.44,winter,120412.5
Potatoes,225.12,9.93,20.86,13.25,summer,124166.2
Maize,89.8,17.53,40.84,12.59,winter,9031.8
Wheat,85.61,1.54,17.61,6.55,summer,16919.5
Rice,585.51,4.97,26.06,7.31,post-monsoon,38486.0
Soybeans,1117.55,11.16,20.85,9.27,monsoon,18160.6
Rice,255.73,13.89,29.31,7.6,post-monsoon,32649.3
Wheat,1256.16,14.68,25.58,8.26,monsoon,24960.8
Maize,267.05,26.35,24.21,6.9,winter,28488.4
Rice,202.58,4.59,30.19,10.92,winter,27599.0
Rice,547.86,6.67,24.03,4.52,post-monsoon,35587.9
Potatoes,949.49,23.0,14.65,6.88,monsoon,147147.6
Soybeans,717.01,18.68,20.48,5.61,post-monsoon,20258.3
Soybeans,1288.81,1.72,20.98,6.42,monsoon,18724.8
Maize,282.12,18.66,22.37,6.67,winter,22269.8
Rice,445.12,20.01,24.97,3.93,monsoon,35269.1
Potatoes,1531.91,35.51,24.55,6.44,monsoon,74437.2
Potatoes,388.99,17.44,15.17,9.91,monsoon,154306.9
Maize,684.58,10.4,28.45,4.09,post-monsoon,39268.2
Soybeans,236.12,20.12,18.07,6.07,winter,13557.0
Soybeans,377.37,10.81,17.29,3.43,summer,15313.0
Wheat,626.9,5.46,18.59,9.1,post-monsoon,28298.6
Potatoes,336.68,15.25,8.0,3.04,summer,120571.9
Wheat,396.94,12.55,21.76,6.99,post-monsoon,25816.0
Soybeans,369.07,2.1,24.13,7.52,summer,14999.9
Potatoes,162.36,20.35,16.59,11.49,winter,121702.5
Rice,372.44,15.82,31.62,7.15,winter,28613.6
Rice,478.31,21.4,32.45,7.29,post-monsoon,35451.8
Rice,1254.52,1.75,37.91,6.08,monsoon,37520.1
Soybeans,731.6,17.36,21.88,6.12,summer,17421.9
Potatoes,883.25,10.38,17.59,3.72,monsoon,170714.8
Maize,1032.39,3.73,21.2,5.97,monsoon,34430.3
Soybeans,455.89,6.09,27.24,5.79,summer,19866.1
Soybeans,269.64,9.0,29.24,11.21,winter,12533.3
Rice,1033.54,30.21,31.42,8.63,monsoon,39303.6
Soybeans,1668.47,16.1,30.9,5.44,monsoon,11152.7
Rice,648.43,7.9,15.38,5.24,post-monsoon,27920.3
Soybeans,508.04,3.14,9.76,9.87,summer,10566.7
Maize,218.74,43.01,30.8,5.83,summer,25120.3
Maize,66.67,4.43,26.27,6.35,winter,26823.7
Maize,423.94,8.72,27.6,9.12,post-monsoon,33158.1
Wheat,676.16,2.42,28.49,6.24,post-monsoon,28883.7
Rice,254.23,33.59,23.56,6.67,winter,26646.4
Potatoes,317.57,25.29,18.05,7.35,summer,157828.9
Maize,287.44,3.5,14.56,5.17,winter,21299.7
Potatoes,769.09,1.21,11.91,6.87,post-monsoon,154614.3
Rice,425.73,20.05,27.83,5.99,summer,35332.5
Soybeans,486.52,11.33,24.71,8.26,summer,19949.2
Soybeans,244.39,11.04,25.64,7.8,winter,15701.7
Wheat,1006.0,20.79,26.82,9.97,monsoon,24423.3
Rice,358.34,10.44,33.88,6.62,summer,29419.6
Wheat,246.52,6.9,14.8,10.99,summer,17755.6
Wheat,310.55,12.59,15.38,11.11,summer,22965.9
Wheat,1339.62,4.39,22.29,7.22,monsoon,20903.4
Soybeans,1493.64,9.84,13.07,9.14,monsoon,10726.4
Potatoes,1452.9,3.64,17.2,4.03,monsoon,118312.5
Potatoes,209.15,14.31,15.86,8.15,winter,155649.5
Potatoes,2045.47,7.13,22.89,7.64,monsoon,86852.9
Potatoes,619.2,5.2,24.57,5.65,post-monsoon,162474.0
Wheat,178.02,9.97,21.25,5.85,winter,24476.0
Maize,568.86,3.86,26.92,6.29,summer,34445.7
Rice,841.38,4.24,25.5,6.31,post-monsoon,43402.2
Potatoes,768.61,2.2,15.2,11.55,post-monsoon,142841.7
Soybeans,444.49,24.84,17.81,8.31,winter,14791.5
Potatoes,323.35,13.19,13.31,5.25,summer,135064.6
Wheat,202.13,11.91,22.82,5.91,winter,21385.3
Rice,380.74,12.09,17.13,9.61,monsoon,25427.4
Rice,520.38,4.08,25.98,5.55,post-monsoon,33636.6
Wheat,1113.12,26.45,18.15,7.58,monsoon,23326.6
Rice,332.41,62.67,28.87,10.07,monsoon,30445.6
Rice,396.35,10.91,29.1,5.24,winter,31797.9
Soybeans,475.43,2.22,19.4,7.42,summer,15916.0
Wheat,816.82,32.44,28.18,9.73,monsoon,29949.1
Potatoes,679.46,9.83,16.42,10.03,monsoon,179724.9
Rice,489.23,15.8,28.81,8.26,post-monsoon,37173.7
Soybeans,304.52,4.28,18.13,3.16,summer,12486.0
Wheat,887.97,11.26,26.07,8.12,monsoon,29442.2
Soybeans,403.66,12.86,11.66,9.22,summer,9680.8
Rice,188.48,5.67,29.17,8.45,winter,27647.0
Maize,212.02,33.39,22.28,7.22,winter,26866.8
Rice,124.32,28.42,25.91,4.44,summer,29703.5
Potatoes,69.6,1.85,18.32,6.07,post-monsoon,112283.2
Rice,706.63,9.47,27.27,2.49,post-monsoon,34995.7
Rice,439.66,13.6,23.03,8.35,summer,29542.8
Maize,834.86,2.55,24.69,5.59,monsoon,38437.7
Maize,950.55,21.18,25.85,7.4,monsoon,39567.8
Soybeans,703.03,19.85,18.86,8.18,post-monsoon,19901.2
Potatoes,649.51,18.6,8.99,8.35,monsoon,163098.8
Rice,215.74,2.77,26.92,9.16,winter,27386.7
Potatoes,530.93,1.8,15.53,4.01,summer,169418.6
Soybeans,416.74,2.24,19.13,9.99,summer,16011.6
Rice,211.21,6.66,22.58,6.57,winter,32797.7
Soybeans,605.96,14.98,22.95,5.33,summer,20845.9
Soybeans,742.36,13.92,21.56,12.39,post-monsoon,17587.8
Maize,363.9,2.95,32.81,7.08,winter,22722.3
Soybeans,315.39,2.34,23.62,9.73,summer,17022.9
Wheat,59.25,43.38,22.93,7.59,summer,21098.3
Maize,864.81,22.3,30.97,10.11,monsoon,29723.8
Rice,252.61,4.1,22.76,7.44,winter,29608.5
Wheat,174.63,5.67,17.6,9.41,winter,20150.7
Soybeans,387.78,9.83,23.66,9.08,post-monsoon,17542.9
Soybeans,218.07,7.95,19.8,4.39,winter,11159.0
Wheat,230.64,5.04,20.62,7.77,winter,24835.6
Wheat,564.9,23.14,23.41,6.38,post-monsoon,33381.8
Soybeans,638.01,21.43,17.52,8.0,post-monsoon,17286.6
Maize,1290.36,9.52,28.62,12.75,monsoon,32928.6
Maize,1390.04,3.09,26.91,10.22,monsoon,33294.6
Rice,231.71,10.72,22.75,5.55,winter,29806.4
Maize,719.97,23.61,32.43,11.1,monsoon,37412.1
Rice,322.36,23.14,30.99,9.82,winter,30834.8
Maize,359.74,3.94,20.29,10.03,summer,28278.2
Rice,344.84,25.88,24.94,3.39,summer,26345.6
Potatoes,202.95,1.65,19.52,8.84,winter,118724.5
Rice,195.33,1.96,31.14,6.98,winter,31819.9
Potatoes,746.24,7.96,22.78,7.22,post-monsoon,175642.1
Soybeans,187.28,11.94,14.67,6.79,winter,11183.2
Maize,705.69,2.51,34.27,10.05,monsoon,31736.4
Soybeans,1216.96,11.6,17.12,8.79,monsoon,17272.8
Wheat,1224.42,25.74,21.26,5.83,monsoon,21948.2
Potatoes,707.86,2.72,15.34,4.08,post-monsoon,132245.5
Soybeans,247.59,18.4,32.86,11.15,winter,10455.9
Soybeans,683.01,1.86,21.13,7.88,post-monsoon,20099.3
Soybeans,164.57,4.44,19.54,7.89,winter,13157.2
Rice,326.35,7.35,26.93,7.25,summer,30276.4
Rice,651.89,1.64,27.44,8.76,post-monsoon,38720.7
Soybeans,785.77,11.0,19.4,4.22,post-monsoon,19461.5
Maize,1130.8,2.97,26.74,4.98,monsoon,36542.3
Soybeans,1343.69,2.46,21.75,9.54,monsoon,18721.7
Rice,537.94,2.02,27.76,7.95,post-monsoon,41874.3
Rice,246.65,2.23,25.91,4.19,summer,32341.4
Maize,282.03,6.28,30.02,6.24,summer,26948.7
Maize,597.14,10.45,32.29,9.11,post-monsoon,28743.4
Soybeans,281.29,36.17,19.81,5.76,winter,13867.4
Rice,587.18,9.27,23.32,7.21,post-monsoon,38803.3
Soybeans,935.85,5.06,29.74,7.28,monsoon,17640.0
Soybeans,662.26,30.59,29.4,5.88,summer,20144.1
Rice,426.74,6.41,17.85,7.95,winter,23307.0
Maize,252.39,6.42,18.58,5.93,winter,23751.4
Soybeans,558.1,26.69,18.18,5.16,post-monsoon,17958.3
Soybeans,1300.7,14.23,24.03,7.66,monsoon,16655.8
Potatoes,145.96,9.99,16.72,7.08,winter,122091.7
Wheat,430.87,10.34,24.98,7.68,post-monsoon,28452.6
Maize,536.23,6.31,15.22,6.59,post-monsoon,29876.1
Rice,206.39,21.98,31.96,8.36,winter,24934.7
Wheat,519.99,12.42,21.16,5.04,summer,30316.8
Wheat,460.11,5.54,23.91,5.78,summer,28950.8
Soybeans,1209.07,4.93,22.71,8.47,monsoon,17085.7
Maize,529.44,18.28,27.16,5.51,post-monsoon,32318.0
Potatoes,279.98,1.73,19.1,8.71,winter,133584.6
Rice,1204.99,8.11,30.25,4.58,monsoon,45078.0
Soybeans,95.83,17.16,28.24,5.66,summer,13110.0
Rice,312.08,17.83,24.82,8.28,winter,30132.4
Wheat,403.56,25.74,27.43,5.66,post-monsoon,27149.6
Potatoes,383.22,5.01,16.91,7.21,summer,154500.5
Maize,252.48,27.74,19.66,9.38,summer,28619.2
Potatoes,256.13,2.18,23.81,4.68,winter,124830.2
Potatoes,536.53,9.74,20.51,7.47,summer,180728.5
Soybeans,378.98,8.03,22.24,9.21,winter,16673.3
Potatoes,1651.39,2.69,16.64,10.5,monsoon,107022.2
Soybeans,171.6,4.76,19.35,7.88,winter,13407.7
Wheat,211.54,3.62,10.96,6.45,winter,12744.4
Maize,412.19,1.09,21.65,6.49,post-monsoon,30493.3
Maize,535.07,9.63,21.24,7.8,post-monsoon,35324.7
Maize,235.99,2.45,28.36,7.53,winter,24079.6
Maize,1514.26,60.23,25.11,11.75,monsoon,27917.5
Potatoes,827.26,29.58,10.43,2.49,monsoon,118444.0
Potatoes,178.63,4.57,22.48,5.79,summer,127019.0
Wheat,954.86,14.04,24.88,9.69,monsoon,30342.7
Potatoes,1535.83,5.65,29.0,6.49,monsoon,75212.0
Wheat,1786.1,11.96,16.67,9.02,monsoon,16575.0
Rice,1179.59,2.54,30.79,7.95,monsoon,46973.2
Rice,408.17,8.99,23.28,2.76,summer,28523.1
Potatoes,345.63,23.42,21.66,9.14,monsoon,172987.3
Maize,185.37,11.71,24.16,9.8,winter,25059.6
Soybeans,168.71,2.25,13.22,10.74,winter,10007.0
Maize,583.56,3.17,23.27,10.49,post-monsoon,39535.7
Soybeans,356.88,6.0,27.9,10.28,summer,17524.3
Maize,174.27,23.12,26.04,7.27,winter,28352.4
Soybeans,415.5,1.34,21.69,6.89,winter,15676.9
Maize,1060.68,1.28,27.05,4.25,monsoon,36579.6
Maize,147.47,27.31,23.23,6.77,summer,26588.2
Soybeans,115.28,3.01,16.57,8.32,winter,8857.4
Wheat,620.19,5.32,23.25,6.45,summer,32933.7
Potatoes,1111.74,22.31,11.39,4.21,monsoon,116991.5
Soybeans,1212.91,19.3,18.08,5.7,monsoon,16589.3
Maize,379.81,16.75,18.99,6.53,post-monsoon,30943.5
Soybeans,770.21,10.15,16.49,7.63,summer,18324.7
Soybeans,276.95,4.87,22.04,7.67,winter,15102.0
Rice,409.03,5.32,27.14,6.87,post-monsoon,39481.3
Soybeans,483.93,31.12,28.78,12.21,winter,13775.0
Maize,296.93,12.06,26.53,1.5,winter,20502.9
Soybeans,1548.84,9.57,22.98,6.66,monsoon,15325.0
Potatoes,1440.9,13.01,21.95,7.2,monsoon,113057.6
Potatoes,489.06,19.92,23.07,7.53,post-monsoon,179251.2
Maize,1052.36,1.07,23.22,5.47,monsoon,38853.5
Potatoes,849.67,2.11,21.54,7.88,post-monsoon,164505.9
Wheat,235.73,6.15,18.28,5.31,winter,21868.7
Maize,84.31,19.99,26.07,7.0,winter,22417.4
Soybeans,235.88,4.96,20.45,4.5,winter,13175.1
Maize,226.85,47.35,14.98,8.59,winter,16588.2
Potatoes,1623.85,11.58,11.46,1.0,monsoon,69015.7
Soybeans,367.88,20.55,27.91,9.11,post-monsoon,17193.4
Soybeans,431.68,26.64,26.14,4.19,summer,16925.5
Rice,858.92,1.78,27.08,9.39,monsoon,41026.6
Rice,419.73,4.78,32.63,6.32,post-monsoon,29659.1
Maize,339.9,29.89,21.68,6.6,winter,29665.1
Soybeans,1202.16,13.02,21.09,1.0,monsoon,15160.4
Rice,1301.06,18.18,22.92,7.48,monsoon,44995.9
Wheat,378.37,13.4,27.29,7.51,post-monsoon,24947.2
Rice,457.11,8.34,26.38,1.0,summer,31040.4
Rice,305.04,23.79,19.92,10.09,post-monsoon,25666.2
Wheat,454.95,17.83,25.15,9.87,summer,27981.6
Potatoes,308.88,45.07,17.18,7.93,winter,138090.8
Soybeans,351.92,1.53,33.82,4.98,summer,13447.8
Potatoes,472.02,14.98,20.95,4.69,summer,162318.3
Potatoes,424.71,4.72,18.41,8.65,summer,160439.6
Potatoes,1643.57,3.98,15.25,2.76,monsoon,85504.6
Soybeans,270.27,6.5,29.49,6.52,winter,13365.7
Potatoes,84.82,4.03,14.37,10.11,winter,97806.7
Wheat,404.97,26.37,31.19,8.48,winter,25200.3
Maize,576.67,3.78,25.9,3.12,summer,33747.2
Maize,662.56,8.7,27.83,7.38,post-monsoon,36259.2
Soybeans,1426.9,13.41,32.86,12.32,monsoon,10334.3
Soybeans,139.74,12.69,20.92,6.06,winter,13226.3
Rice,672.09,6.9,28.23,8.25,monsoon,44713.5
Soybeans,787.82,8.62,17.71,6.41,monsoon,20475.3
Wheat,154.71,4.32,21.22,7.09,winter,23175.1
Potatoes,203.63,8.39,19.12,9.1,winter,122364.5
Rice,200.68,3.82,26.58,6.5,winter,26772.1
Maize,694.05,4.61,26.86,7.12,post-monsoon,36432.9
Wheat,187.29,3.53,22.79,7.41,winter,22706.7
Maize,403.74,16.2,27.86,6.79,summer,27389.7
Wheat,731.77,9.29,24.36,10.71,monsoon,31908.8
Wheat,224.94,16.66,25.02,9.21,summer,22067.2
Maize,211.79,2.51,24.67,12.25,winter,22841.1
Wheat,315.12,6.98,21.09,5.38,winter,27239.2
Potatoes,86.68,10.96,23.04,5.29,winter,114747.3
Maize,144.02,3.99,28.65,7.04,winter,21972.6
Wheat,343.01,7.89,25.43,7.26,summer,26908.5
Maize,626.41,27.94,25.52,4.75,summer,30827.0
Rice,898.25,4.54,24.33,3.45,post-monsoon,39973.5
Maize,523.09,7.32,27.22,7.03,post-monsoon,34682.4
Maize,462.88,8.47,31.07,7.16,post-monsoon,32215.6
Potatoes,677.38,10.11,17.1,9.38,post-monsoon,145678.5
Potatoes,375.71,3.73,15.24,4.83,summer,160452.1
Potatoes,539.3,13.28,17.19,9.77,summer,157335.0
Wheat,482.76,2.61,28.98,4.87,summer,23437.8
Maize,869.96,1.98,32.11,11.35,monsoon,34857.2
Rice,97.02,6.39,27.67,6.19,winter,34815.0
Soybeans,1473.6,9.53,28.02,7.08,monsoon,12686.6
Soybeans,551.47,15.23,28.98,9.04,summer,17738.2
Potatoes,232.07,3.05,17.66,8.6,winter,122608.6
Wheat,1383.89,5.49,27.71,11.09,monsoon,13649.6
Rice,162.5,20.17,27.72,6.0,monsoon,33868.5
Wheat,254.72,10.34,36.62,7.77,winter,18940.1
Potatoes,374.69,20.85,8.26,8.05,summer,123813.5
Soybeans,745.63,4.46,22.04,9.65,post-monsoon,20514.5
Maize,256.1,6.22,21.8,4.49,winter,22791.7
Wheat,356.55,19.38,17.66,5.29,winter,23739.1
Rice,859.89,19.44,21.2,7.41,post-monsoon,38130.9
Maize,513.17,7.79,26.3,4.59,post-monsoon,30103.3
Wheat,606.89,17.07,18.21,6.42,post-monsoon,27925.8
Rice,212.3,3.76,22.35,3.26,post-monsoon,25465.4
Wheat,745.08,12.11,16.98,7.52,monsoon,31419.0
Maize,647.2,10.67,21.86,4.79,summer,33105.9
Potatoes,170.82,14.38,25.28,2.86,winter,121431.8
Wheat,1352.41,11.63,14.32,6.46,monsoon,19065.6
Rice,174.35,4.5,35.48,7.11,winter,22815.8
Soybeans,1057.74,14.39,26.49,6.04,monsoon,19989.1
Wheat,247.94,30.52,21.13,7.56,winter,22914.1
Soybeans,931.85,13.18,15.97,11.37,monsoon,18409.6
Rice,205.99,17.11,28.32,7.74,winter,29207.3
Wheat,365.52,11.91,25.49,3.48,summer,23975.1
Rice,293.72,3.68,29.36,7.19,winter,32884.1
Rice,326.05,6.57,31.44,5.09,winter,29310.5
Wheat,550.22,28.09,33.82,5.04,summer,19640.7
Wheat,229.8,15.67,29.27,3.65,winter,19925.0
Rice,1018.43,8.04,23.17,5.63,post-monsoon,43669.1
Wheat,403.55,32.43,12.4,6.97,summer,20907.3
Wheat,1383.86,19.53,21.21,7.11,monsoon,20389.2
Soybeans,519.85,20.67,28.79,6.48,summer,19572.3
Wheat,578.13,17.28,25.9,2.94,post-monsoon,28233.1
Rice,623.24,19.52,27.63,8.54,post-monsoon,36449.5
Rice,499.07,9.39,27.05,9.66,summer,29069.0
Wheat,274.88,7.42,23.09,5.73,winter,20043.4
Wheat,74.97,9.07,16.67,5.08,summer,21797.4
Potatoes,486.74,5.23,20.05,10.65,summer,161419.7
Wheat,225.41,4.02,24.12,5.05,winter,21999.2
Wheat,125.96,4.2,25.0,6.63,winter,19737.6
Soybeans,814.49,10.34,34.44,3.04,post-monsoon,12743.3
Rice,417.66,25.53,29.67,1.0,post-monsoon,29766.1
Rice,258.05,5.94,27.43,4.69,summer,31955.1
Rice,333.8,9.51,20.58,6.67,summer,29691.2
Potatoes,393.6,15.0,14.18,12.07,summer,151461.6
Soybeans,861.34,8.97,24.66,7.9,post-monsoon,20585.0
Maize,229.1,26.7,32.15,7.83,winter,21764.7
Maize,1028.93,10.36,21.51,6.31,monsoon,40096.3
Soybeans,1173.74,20.54,21.2,6.52,monsoon,17096.5
Soybeans,442.33,15.72,23.53,8.76,post-monsoon,20166.4
Soybeans,925.76,6.72,23.35,8.45,monsoon,20795.3
Rice,215.92,2.31,32.26,5.09,winter,27544.6
Wheat,696.03,20.49,29.28,8.76,post-monsoon,28602.9
Rice,686.05,3.23,22.69,10.51,post-monsoon,37294.1
Wheat,1214.18,11.91,24.32,7.49,monsoon,25621.0
Rice,628.83,7.43,32.81,5.02,post-monsoon,37190.4
Maize,369.82,24.72,16.2,7.97,winter,20535.9
Soybeans,129.92,6.79,24.16,7.56,winter,13479.4
